tituloOriginal,ranking,genero,anyo,presupuesto,duraccion,pais,titulo
Tenkû no shiro Rapyuta,#433,Studio Ghibli,1986,,124 minutos,Japón,Tenkû no shiro Rapyuta
Mononoke-hime,#432,Studio Ghibli,1997,,133 minutos,Japón,Mononoke-hime
Harold and Maude,#440,"Comedia, Romance",1971,1.200.000$,91 minutos,EE.UU.,Harold and Maude
El ángel exterminador,#430,,1962,,95 minutos,España,El ángel exterminador
Doctor Zhivago,#434,"Drama, Romance, Historia",1965,11.000.000$,197 minutos,EE.UU.,Doctor Zhivago
Out of Africa,#431,"Biografía, Drama, Romance",1985,31.000.000$,161 minutos,EE.UU.,Out of Africa
Volando voy,#427,,2005,,100 minutos,España,Volando voy
Die Welle,#423,"Drama, Suspense",2008,5.000.000€,101 minutos,Alemania,Die Welle
Collateral,#426,"Crimen, Drama, Thriller",2004,65.000.000$,120 minutos,EE.UU.,Collateral
Stalker,#425,Mosfilm,1979,,163 minutos,Rusia,Stalker
Celda 211,#428,Paramount Pictures,2009,,110 minutos,España,Celda 211
The Apartment,#424,"Drama, Comedia, Romance",1960,3.000.000$,125 minutos,EE.UU.,The Apartment
Smoke,#422,,1995,,108 minutos,EE.UU.,Smoke
Smultronstället,#417,,1957,,91 minutos,Suecia,Smultronstället
Papillon,#419,"Drama, Aventura",1973,12.000.000$,150 minutos,EE.UU.,Papillon
,#420,,2010,,,Despicable Me,
El Bola,#429,,2000,,88 minutos,España,El Bola
,#416,,2011,,,Rise of the Planet of the Apes,
Breakfast at Tiffany's,#414,,1961,,115 minutos,EE.UU.,Breakfast at Tiffany's
,#413,,2014,,,The Amazing Spider-Man 2: Rise of Electro,
The Martian,#412,"20th Century Fox, Scott Free Productions",2015,,142 minutos,EE.UU.,The Martian
Now You See Me: The Second Act,#421,"Lionsgate, Summit Entertainment",2016,,129 minutos,EE.UU.,Now You See Me: The Second Act
Amadeus,#415,Orion Pictures,1984,,180 minutos,EE.UU.,Amadeus
,#410,"Acción, Ciencia ficción",2015,,,Ant-Man,
Midnight Cowboy,#407,Drama,1969,3.600.000$,113 minutos,EE.UU.,Midnight Cowboy
The Game,#408,"Thriller, Drama, Misterio",1997,50.000.000$,129 minutos,EE.UU.,The Game
Misery,#411,Thriller,1990,20.000.000$,107 minutos,EE.UU.,Misery
